LABELS
SEPARATOR SPACE
DATA
PQ625154 Colorado_2021_mel-21-MDS-9_PQ625154
PQ625155 Colorado_2023_500-F-11_PQ625155
PQ625156 Colorado_2023_500-F-41_PQ625156
PQ625157 Colorado_2023_500-M-17_PQ625157
PQ625158 Colorado_2023_500-M-57_PQ625158
PQ625159 Colorado_2023_500-M-61-2_PQ625159
PQ625160 Colorado_2023_500-M-61_PQ625160
PQ625161 Colorado_2023_500-M-65-2_PQ625161
PQ625162 Colorado_2023_500-M-65_PQ625162
PQ625163 Colorado_2023_500-M-71-2_PQ625163
PQ625164 Colorado_2023_500-M-84_PQ625164
PQ625165 Colorado_2023_500-M-F10_PQ625165
PQ625166 Colorado_2023_1020-A7_PQ625166
PQ625167 Colorado_2023_1020-B6_PQ625167
PQ625168 Colorado_2023_1020-D3_PQ625168
PQ625169 Colorado_2023_1020-F6_PQ625169
PQ625170 Colorado_2023_1020-F-31_PQ625170
PQ625171 Colorado_2023_1020-F-40_PQ625171
PQ625172 Colorado_2023_1020-F-0818-D4_PQ625172
PQ625173 Colorado_2023_1020-M-19_PQ625173
PQ625174 Colorado_2023_1020-M-0818-A5_PQ625174
PQ625175 Colorado_2023_1020-M-0818-A7_PQ625175
PQ625176 Colorado_2023_1428-F-8_PQ625176
PQ625177 Colorado_2023_1428-M-4_PQ625177
PQ625178 Colorado_2023_1428-M-42_PQ625178
PQ625179 Colorado_2023_Adobe-B8_PQ625179
PQ625180 Colorado_2023_Briarwood-D9_PQ625180
PQ625181 Colorado_2023_CVID-0911-F4_PQ625181
PQ625182 Colorado_2023_CVID-1006-G6_PQ625182
PQ625183 Colorado_2023_CVID-1006-G7_PQ625183
PQ625184 Colorado_2023_CVID-1006-H2_PQ625184
PQ625185 Colorado_2023_CVID-1006-H3_PQ625185
PQ625186 Colorado_2023_James-A5_PQ625186
PQ625187 Colorado_2023_ME-F-1_PQ625187
PQ625188 Maine_2023_ME-F-1_PQ625188
PQ625189 Maine_2023_ME-F-2_PQ625189
PQ625190 Maine_2023_ME-F-3_PQ625190
PQ625191 Maine_2023_ME-M-1_PQ625191
PQ625192 Maine_2023_ME-M-2_PQ625192
PQ625193 Maine_2023_ME-M-2_PQ625193
PQ625194 Maine_2023_ME-M-7_PQ625194
PQ625195 Maine_2023_ME-M-8_PQ625195
PQ625196 Maine_2023_ME-M-11_PQ625196
PQ625197 Colorado_2023_Myrtle-E9_PQ625197
PQ625198 Ohio_2023_OH-M-5_PQ625198
PQ625199 Colorado_2023_Peach-13-H7_PQ625199
PQ625200 Pennsylvania_2023_Penn-F-1_PQ625200
PQ625201 Pennsylvania_2023_Penn-F-2_PQ625201
PQ625202 Pennsylvania_2023_Penn-F-2_PQ625202
PQ625203 Pennsylvania_2023_Penn-F-3_PQ625203
PQ625204 Pennsylvania_2023_Penn-F-4_PQ625204
PQ625205 Pennsylvania_2023_Penn-F-6_PQ625205
PQ625206 Pennsylvania_2023_Penn-F-9_PQ625206
PQ625207 Pennsylvania_2023_Penn-F-12_PQ625207
PQ625208 Pennsylvania_2023_Penn-M-2_PQ625208
PQ625209 Pennsylvania_2023_Penn-M-2_PQ625209
PQ625210 Pennsylvania_2023_Penn-M-8_PQ625210
PQ625211 Pennsylvania_2023_Penn-M-10_PQ625211
PQ625212 Pennsylvania_2023_Penn-M-11_PQ625212
PQ625213 Pennsylvania_2023_Penn-M-14_PQ625213
PQ625214 Maine_2023_ME-M-3_PQ625214
MH384356 Australia_2008__MH384356
MH384363 Australia_2008__MH384363
MH384367 Australia_2008__MH384367
MH384375 Australia_2008__MH384375
MH384381 Australia_2008__MH384381
MT742163 Colorado_2017__MT742163
MT742167 Colorado_2018__MT742167
MW976837 Australia_2018__MW976837
MW976840 Australia_2018__MW976840
MW976841 Australia_2018__MW976841
MW976842 Australia_2018__MW976842
MW976843 Australia_2018__MW976843
MW976844 Australia_2018__MW976844
MW976845 Australia_2018__MW976845
MW976846 Australia_2018__MW976846
MW976847 Australia_2018__MW976847
MW976848 Australia_2018__MW976848
OR729013 Colorado_2020__OR729013
OR729014 Colorado_2020__OR729014
OR729015 Colorado_2020__OR729015
OR729016 Colorado_2020__OR729016
OR729017 Colorado_2021__OR729017
OR729018 Colorado_2021__OR729018
OR729019 Colorado_2021__OR729019
OR729020 Colorado_2021__OR729020
OR729021 Colorado_2021__OR729021
OR729022 Colorado_2021__OR729022
OR729023 Colorado_2021__OR729023
OR729024 Colorado_2021__OR729024
OR729025 Colorado_2021__OR729025
OR729026 Colorado_2021__OR729026
OR729027 Colorado_2021__OR729027
OR729028 Colorado_2021__OR729028
OR729029 Colorado_2021__OR729029
OR729030 Colorado_2021__OR729030
OR729031 Colorado_2021__OR729031
OR729032 Colorado_2021__OR729032
OR729033 Colorado_2021__OR729033
OR729034 Colorado_2021__OR729034
OR729035 Colorado_2021__OR729035
OR729036 Colorado_2021__OR729036
OR820567 Illinois_1930__OR820567
OR820571 Minnesota_1919__OR820571
OR820594 California_2000__OR820594
SRX10234784_Chaq Australia_2018__SRX10234784_Chaq
