isolate,accession,location,date,species
D_mel_USA_2020_mel-20-TD-3_Galbut_virus_RNA2_Complete_CDS,PQ624953,Colorado,2020,melanogaster
D_mel_USA_2020_sim-20-TD-4_Galbut_virus_RNA2_Complete_CDS,PQ624954,Colorado,2020,melanogaster
D_mel_USA_2021_mel-21-MDS-9_Galbut_virus_RNA2_Complete_CDS,PQ624955,Colorado,2021,melanogaster
D_mel_USA_2023_500-F-11_Galbut_virus_RNA2_Complete_CDS,PQ624956,Colorado,2023,melanogaster
D_mel_USA_2023_500-F-21_Galbut_virus_RNA2_Complete_CDS_1,PQ624957,Colorado,2023,melanogaster
D_mel_USA_2023_500-F-21_Galbut_virus_RNA2_Complete_CDS_2,PQ624958,Colorado,2023,melanogaster
D_mel_USA_2023_500-F-41_Galbut_virus_RNA2_Complete_CDS,PQ624959,Colorado,2023,melanogaster
D_mel_USA_2023_500-F-67_Galbut_virus_RNA2_Complete_CDS,PQ624960,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-16_Galbut_virus_RNA2_Complete_CDS,PQ624961,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-17_Galbut_virus_RNA2_Complete_CDS,PQ624962,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-54_Galbut_virus_RNA2_Complete_CDS,PQ624963,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-57_Galbut_virus_RNA2_Complete_CDS,PQ624964,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-60_Galbut_virus_RNA2_Complete_CDS,PQ624965,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-61-2_Galbut_virus_RNA2_Complete_CDS,PQ624966,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-61_Galbut_virus_RNA2_Complete_CDS,PQ624967,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-65-2_Galbut_virus_RNA2_Complete_CDS,PQ624968,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-65_Galbut_virus_RNA2_Complete_CDS,PQ624969,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-71-2_Galbut_virus_RNA2_Complete_CDS,PQ624970,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-83_Galbut_virus_RNA2_Complete_CDS,PQ624971,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-84_Galbut_virus_RNA2_Complete_CDS,PQ624972,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-F10_Galbut_virus_RNA2_Complete_CDS,PQ624973,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-F11_Galbut_virus_RNA2_Complete_CDS,PQ624974,Colorado,2023,melanogaster
D_mel_USA_2023_500-M-G2_Galbut_virus_RNA2_Complete_CDS,PQ624975,Colorado,2023,melanogaster
D_mel_USA_2023_1020-A7_Galbut_virus_RNA2_Complete_CDS,PQ624976,Colorado,2023,melanogaster
D_mel_USA_2023_1020-B6_Galbut_virus_RNA2_Complete_CDS,PQ624977,Colorado,2023,melanogaster
D_mel_USA_2023_1020-C2_Galbut_virus_RNA2_Complete_CDS,PQ624978,Colorado,2023,melanogaster
D_mel_USA_2023_1020-D1_Galbut_virus_RNA2_Complete_CDS,PQ624979,Colorado,2023,melanogaster
D_mel_USA_2023_1020-D3_Galbut_virus_RNA2_Complete_CDS,PQ624980,Colorado,2023,melanogaster
D_mel_USA_2023_1020-F1_Galbut_virus_RNA2_Complete_CDS,PQ624981,Colorado,2023,melanogaster
D_mel_USA_2023_1020-F6_Galbut_virus_RNA2_Complete_CDS,PQ624982,Colorado,2023,melanogaster
D_mel_USA_2023_1020-F-31_Galbut_virus_RNA2_Complete_CDS,PQ624983,Colorado,2023,melanogaster
D_mel_USA_2023_1020-F-36_Galbut_virus_RNA2_Complete_CDS,PQ624984,Colorado,2023,melanogaster
D_mel_USA_2023_1020-F-40_Galbut_virus_RNA2_Complete_CDS,PQ624985,Colorado,2023,melanogaster
D_mel_USA_2023_1020-F-44_Galbut_virus_RNA2_Complete_CDS,PQ624986,Colorado,2023,melanogaster
D_mel_USA_2023_1020-F-0818-D4_Galbut_virus_RNA2_Complete_CDS,PQ624987,Colorado,2023,melanogaster
D_mel_USA_2023_1020-F-0818-D11_Galbut_virus_RNA2_Complete_CDS,PQ624988,Colorado,2023,melanogaster
D_mel_USA_2023_1020-G3_Galbut_virus_RNA2_Complete_CDS,PQ624989,Colorado,2023,melanogaster
D_mel_USA_2023_1020-M-8_Galbut_virus_RNA2_Complete_CDS,PQ624990,Colorado,2023,melanogaster
D_mel_USA_2023_1020-M-19_Galbut_virus_RNA2_Complete_CDS,PQ624991,Colorado,2023,melanogaster
D_mel_USA_2023_1020-M-0818-A5_Galbut_virus_RNA2_Complete_CDS,PQ624992,Colorado,2023,melanogaster
D_mel_USA_2023_1020-M-0818-A7_Galbut_virus_RNA2_Complete_CDS,PQ624993,Colorado,2023,melanogaster
D_mel_USA_2023_1020-M-0818-A10_Galbut_virus_RNA2_Complete_CDS,PQ624994,Colorado,2023,melanogaster
D_mel_USA_2023_1428-F-8_Galbut_virus_RNA2_Complete_CDS,PQ624995,Colorado,2023,melanogaster
D_mel_USA_2023_1428-F-21_Galbut_virus_RNA2_Complete_CDS,PQ624996,Colorado,2023,melanogaster
D_mel_USA_2023_1428-M-3_Galbut_virus_RNA2_Complete_CDS,PQ624997,Colorado,2023,melanogaster
D_mel_USA_2023_1428-M-4_Galbut_virus_RNA2_Complete_CDS,PQ624998,Colorado,2023,melanogaster
D_mel_USA_2023_1428-M-21_Galbut_virus_RNA2_Complete_CDS,PQ624999,Colorado,2023,melanogaster
D_mel_USA_2023_1428-M-42_Galbut_virus_RNA2_Complete_CDS,PQ625000,Colorado,2023,melanogaster
D_mel_USA_2023_Adobe-B4_Galbut_virus_RNA2_Complete_CDS,PQ625001,Colorado,2023,melanogaster
D_mel_USA_2023_Adobe-B6_Galbut_virus_RNA2_Complete_CDS,PQ625002,Colorado,2023,melanogaster
D_mel_USA_2023_Adobe-B8_Galbut_virus_RNA2_Complete_CDS,PQ625003,Colorado,2023,melanogaster
D_mel_USA_2023_Adobe-C2_Galbut_virus_RNA2_Complete_CDS,PQ625004,Colorado,2023,melanogaster
D_mel_USA_2023_Briarwood-D9_Galbut_virus_RNA2_Complete_CDS,PQ625005,Colorado,2023,melanogaster
D_mel_USA_2023_CVID-0825-B1_Galbut_virus_RNA2_Complete_CDS,PQ625006,Colorado,2023,melanogaster
D_mel_USA_2023_CVID-0825-C10_Galbut_virus_RNA2_Complete_CDS,PQ625007,Colorado,2023,melanogaster
D_mel_USA_2023_CVID-0911-F4_Galbut_virus_RNA2_Complete_CDS,PQ625008,Colorado,2023,melanogaster
D_mel_USA_2023_CVID-1006-G6_Galbut_virus_RNA2_Complete_CDS,PQ625009,Colorado,2023,melanogaster
D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA2_Complete_CDS,PQ625010,Colorado,2023,melanogaster
D_mel_USA_2023_CVID-1006-H2_Galbut_virus_RNA2_Complete_CDS,PQ625011,Colorado,2023,melanogaster
D_mel_USA_2023_CVID-1006-H3_Galbut_virus_RNA2_Complete_CDS,PQ625012,Colorado,2023,melanogaster
D_mel_USA_2023_James-A4_Galbut_virus_RNA2_Complete_CDS,PQ625013,Colorado,2023,melanogaster
D_mel_USA_2023_James-A5_Galbut_virus_RNA2_Complete_CDS,PQ625014,Colorado,2023,melanogaster
D_mel_USA_2023_ME-F-1_Galbut_virus_RNA2_Complete_CDS,PQ625015,Maine,2023,melanogaster
D_mel_USA_2023_ME-F-2_Galbut_virus_RNA2_Complete_CDS,PQ625016,Maine,2023,melanogaster
D_mel_USA_2023_ME-F-3_Galbut_virus_RNA2_Complete_CDS,PQ625017,Maine,2023,melanogaster
D_mel_USA_2023_ME-F-9_Galbut_virus_RNA2_Complete_CDS,PQ625018,Maine,2023,melanogaster
D_mel_USA_2023_ME-M-1_Galbut_virus_RNA2_Complete_CDS,PQ625019,Maine,2023,melanogaster
D_mel_USA_2023_ME-M-2_Galbut_virus_RNA2_Complete_CDS,PQ625020,Maine,2023,melanogaster
D_mel_USA_2023_ME-M-4_Galbut_virus_RNA2_Complete_CDS,PQ625021,Maine,2023,melanogaster
D_mel_USA_2023_ME-M-6_Galbut_virus_RNA2_Complete_CDS,PQ625022,Maine,2023,melanogaster
D_mel_USA_2023_ME-M-7_Galbut_virus_RNA2_Complete_CDS_1,PQ625023,Maine,2023,melanogaster
D_mel_USA_2023_ME-M-7_Galbut_virus_RNA2_Complete_CDS_2,PQ625024,Maine,2023,melanogaster
D_mel_USA_2023_ME-M-8_Galbut_virus_RNA2_Complete_CDS,PQ625025,Maine,2023,melanogaster
D_mel_USA_2023_ME-M-10_Galbut_virus_RNA2_Complete_CDS,PQ625026,Maine,2023,melanogaster
D_mel_USA_2023_ME-M-11_Galbut_virus_RNA2_Complete_CDS,PQ625027,Maine,2023,melanogaster
D_mel_USA_2023_ME-M-14_Galbut_virus_RNA2_Complete_CDS,PQ625028,Maine,2023,melanogaster
